ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
209,72.487,147346.220,31764.469,9298.079,118764.618,147346.220,0.000,9231.073,323.710,0.000,22412.007,16.293
210,72.865,148627.226,31793.485,9217.706,118748.739,148627.226,0.000,9184.563,320.952,0.000,22490.384,16.154
211,73.244,149040.484,31748.100,9137.333,118719.159,149040.484,0.000,9142.160,318.193,0.000,22490.254,16.015
212,73.623,151043.892,31630.102,9056.960,118676.884,151043.892,0.000,9104.106,315.434,0.000,22413.163,15.876
213,74.002,152286.944,31442.478,8976.586,118624.632,152286.944,0.000,9070.660,312.674,0.000,22261.838,15.737
214,74.380,152386.777,31189.264,8896.213,118565.183,152386.777,0.000,9042.165,309.913,0.000,22039.975,15.598
215,74.759,152842.332,30874.257,8815.840,118497.980,152842.332,0.000,9019.077,307.151,0.000,21750.912,15.459
216,75.138,153920.391,30500.423,8735.466,118420.344,153920.391,0.000,9001.904,304.388,0.000,21397.959,15.320
217,75.517,154351.797,30043.266,8655.093,118333.128,154351.797,0.000,8991.227,301.624,0.000,20986.323,15.181
218,75.896,154455.354,29572.659,8574.720,118238.358,154455.354,0.000,8987.707,298.858,0.000,20522.090,15.042
219,76.274,154537.946,29063.907,8494.346,118137.936,154537.946,0.000,8992.087,296.092,0.000,20011.814,14.903
220,76.653,153692.787,28524.652,8413.973,118029.870,153692.787,0.000,9005.246,293.324,0.000,19462.256,14.763
221,77.032,154915.541,27962.577,8333.600,117908.864,154915.541,0.000,9028.022,290.554,0.000,18880.265,14.624
222,77.411,153398.753,27385.827,8253.226,117775.160,153398.753,0.000,9061.492,287.784,0.000,18272.906,14.485
223,77.790,152701.096,26802.538,8172.853,117629.526,152701.096,0.000,9106.808,285.011,0.000,17647.164,14.345
224,78.169,152369.684,26220.764,8092.480,117473.166,152369.684,0.000,9165.248,282.238,0.000,17009.813,14.205
225,78.548,151463.728,25648.368,8012.106,117301.153,151463.728,0.000,9238.230,279.463,0.000,16367.302,14.066
226,78.927,150961.449,25092.938,7931.733,117108.551,150961.449,0.000,9327.325,276.687,0.000,15725.645,13.926
227,79.306,149482.457,24550.158,7851.360,116894.103,149482.457,0.000,9434.278,273.909,0.000,15090.331,13.786
228,79.684,149606.618,24042.939,7770.987,116657.287,149606.618,0.000,9561.060,271.131,0.000,14466.258,13.646
229,80.063,147955.380,23580.175,7690.613,116397.249,147955.380,0.000,9709.752,268.351,0.000,13857.670,13.506
230,80.442,147143.385,23160.752,7610.240,116108.446,147143.385,0.000,9882.743,265.570,0.000,13268.126,13.366
231,80.821,145727.385,22790.212,7529.867,115785.865,145727.385,0.000,10082.674,262.788,0.000,12700.482,13.226
