nucid;E_A;E_B;P;from_seq;z;a
214BI;1069.960;609.312;0.542421190332;40;84;214
214BI;1069.960;768.356;0.545677995633;40;84;214
214BI;1069.960;1377.669;0.444727566441;40;84;214
214BI;1120.287;609.312;0.980027048747;13;84;214
214BI;1133.660;609.312;0.980027048747;15;84;214
214BI;1155.190;609.312;0.980027048747;16;84;214
214BI;1207.680;609.312;0.980027048747;41;84;214
214BI;1207.680;665.453;0.994243331113;41;84;214
214BI;1238.110;609.312;0.980027048747;19;84;214
214BI;1280.960;609.312;0.980027048747;20;84;214
214BI;1303.760;609.312;0.980027048747;55;84;214
214BI;1303.760;806.174;0.988855597417;55;84;214
214BI;1385.310;609.312;0.980027048747;22;84;214
214BI;1401.500;609.312;0.980027048747;23;84;214
214BI;1407.980;609.312;0.980027048747;24;84;214
214BI;1509.228;609.312;0.980027048747;26;84;214
214BI;1538.500;609.312;0.980027048747;27;84;214
214BI;1583.220;609.312;0.980027048747;30;84;214
214BI;1594.730;609.312;0.980027048747;31;84;214
214BI;1599.310;609.312;0.980027048747;32;84;214
214BI;1683.990;609.312;0.980027048747;35;84;214
214BI;1838.360;609.312;0.980027048747;40;84;214
214BI;1873.160;609.312;0.980027048747;41;84;214
214BI;1895.920;609.312;0.980027048747;42;84;214
235U;19.590;143.760;0.142287259885;5;90;231
235U;19.590;185.710;0.744569648795;5;90;231
235U;64.350;143.760;0.137373089313;30;90;231
235U;64.350;182.520;0.0912026521106;30;90;231
235U;64.350;185.710;0.718854470503;30;90;231
235U;64.350;194.940;0.00325280406786;30;90;231
235U;64.350;202.110;0.236890005482;30;90;231
235U;202.110;143.760;0.142287259885;26;90;231
